Division,Substation,Consumer,Cd,Remarks
GOMD-VI,BARJORA,Shriram Rathi Steels Pvt. Ltd.,2.200,"wef 26.04,16.09.09"
GOMD-VI,BARJORA,Kharkia Steel Pvt. Ltd.,12.700,wef 01.02.10
GOMD-VI,BARJORA,Surya Alloy Industries Ltd. U#2,3.400,"wef 28.03,1.6.10"
GOMD-VI,BARJORA,SBIW Steels Pvt. Ltd.,2.200,wef 6/7/10
GOMD-VI,BARJORA,Jai Ambey Metals Pvt. Ltd.,3.500
GOMD-VI,BARJORA,Arjan Dass & Sons Pvt. Ltd.,3.100,wef 1.6.10
GOMD-VI,BARJORA,Sonic Thermal Ltd.  (132 KV),18.000,"w.e.f.10.01.11,01.02.11"
GOMD-VI,BARJORA,H.P.Ispat (P) Ltd. ,6.850,"wef.11/01/09,1/1/11"
GOMD-VI,BARJORA,Xpro India Limited,1.800
GOMD-VI,BARJORA,SHREE AMBEY ISPAT PVT. LTD.(132 KV),8.000,wef 01.05.14
GOMD-VI,BARJORA,Dimension Steel & Alloys Pvt. Ltd.,18.000,wef 27/09/2011
